Case #,Date,Time,Involved,Name/Description,Gender,Height,Weight (lbs),Hair Colour,Emergency Services Required,Call initiated to: Police (911),Call initiated to: Ambulance  (911),Call initiated to: Fire (911),Attended By: Police,Attended By: Ambulance,Attended By:Fire,Vehicle ID,Incident Teyp(S):  Medical,Incident Teyp(S):  Injury,Incident Teyp(S):  Drug/Alcohol,Incident Teyp(S): Violence,Incident Teyp(S): Staff Abuse,Incident Teyp(S):  Refuse to leave,Incident Teyp(S): Property Damage,Incident Teyp(S): Other (Type),First Aid required,Overdose,Naloxone,Event Location: Drop In,Event Location: Lobby,Event Location: Courtyard,Event Location: Kitchen,Event Location: Dinning Area,Event Location: Chapel,Event Location: Hygiene,Event Location: Games room,Event Location: Shipping&Reveiving Area ,Event Location: Common Housing Area,Event Location: In Room,Event Location: Perimeter,Event Location:Snack Bar,Other: (Enter)
40,Jan-07-2018,15:00:00,A1,R27,1,,,,0,0,,,1,,,,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pod
41,Jan-07-2018,19:30:00,A1,R17,1,average,,bald,1,0,,,,,,,1,0,0,0,0,0,0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
42,Jan-08-2018,02:45:00,A1,R55,1,6'0,160,brown,1,,1,,,1,1,63039,1,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
43,Jan-08-2018,10:20:00,A1,R93,1,5'6,130,brown,,,,,,,,,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,
44,Jan-08-2018,01:45:00,A1,R59,0,5'5,,,0,0,,,,,,,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
45,Jan-08-2018,03:10:00,A1,R75,1,5'8,150,black/brown,0,0,,,,,,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
46,Jan-08-2018,17:50:00,A1,R94,1,6'0,200,grey/long,1,,1,,,1,1,63446,1,0,0,0,0,0,0,OD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vancouver st
47, Jan-08-2018,20:05:00,A2,R36,1,,,,,,,,,1,,,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
48,Jan-08-2018,23:40:00,A1,R81,1,5'3,,bald,,1,,,1,,,,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,first met
49,Jan-08-2018,09:07:00,A1,R20,1,,,,0,1,0,0,1,0,0,J15592,1,0,1,0,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
